"106年09月 2324 仁寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","11,715,633","255,390,330","21.70","21.95","21.55","21.75","+0.05","4,239",
"106/09/04","4,321,375","93,498,578","21.75","21.75","21.50","21.60","-0.15","2,002",
"106/09/05","9,842,947","211,969,947","21.60","21.65","21.40","21.60"," 0.00","2,517",
"106/09/06","17,215,489","376,202,549","21.60","21.95","21.50","21.95","+0.35","4,887",
"106/09/07","12,373,900","269,664,668","21.95","22.15","21.45","21.60","-0.35","3,496",
"106/09/08","20,248,656","443,477,776","21.60","22.00","21.45","22.00","+0.40","4,718",
"106/09/11","6,037,222","132,533,228","22.05","22.05","21.75","21.95","-0.05","2,670",
"106/09/12","13,179,471","292,557,018","22.00","22.30","21.95","22.30","+0.35","4,184",
"106/09/13","11,582,606","257,335,982","22.35","22.35","22.00","22.10","-0.20","3,557",
"106/09/14","12,455,481","278,222,019","22.10","22.45","22.00","22.45","+0.35","3,795",
"106/09/15","26,022,820","591,751,157","22.55","22.90","22.50","22.70","+0.25","6,364",
"106/09/18","20,032,497","446,260,701","22.80","22.90","21.90","22.15","-0.55","8,147",
"106/09/19","15,840,492","346,874,304","22.00","22.10","21.70","21.90","-0.25","5,835",
"106/09/20","19,468,008","420,704,366","21.80","21.95","21.50","21.60","-0.30","6,286",
"106/09/21","12,263,306","271,943,809","21.60","22.35","21.60","22.30","+0.70","4,303",
"106/09/22","12,551,131","274,851,251","22.20","22.20","21.70","21.90","-0.40","4,564",
"106/09/25","17,333,307","363,783,817","21.25","21.45","20.70","20.75","-1.15","8,040",
"106/09/26","12,718,438","263,698,635","20.65","21.00","20.60","20.65","-0.10","4,439",
"106/09/27","8,761,113","182,084,538","20.60","20.90","20.60","20.85","+0.20","2,596",
"106/09/28","9,792,975","206,692,106","21.20","21.30","20.85","21.15","+0.30","3,016",
"106/09/29","11,320,172","242,139,816","21.30","21.55","21.10","21.55","+0.40","3,109",
"106/09/30","2,182,796","46,730,672","21.65","21.65","21.20","21.35","-0.20","752",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

