"108年03月 2615 萬海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","412,046","6,590,279","15.95","16.10","15.95","16.05","+0.10","142",
"108/03/05","256,655","4,117,780","16.05","16.10","15.95","16.00","-0.05","154",
"108/03/06","479,838","7,687,296","16.00","16.10","16.00","16.10","+0.10","298",
"108/03/07","367,003","5,922,694","16.00","16.25","16.00","16.10"," 0.00","172",
"108/03/08","191,962","3,094,782","16.10","16.20","16.05","16.20","+0.10","118",
"108/03/11","144,062","2,321,193","16.20","16.25","16.05","16.05","-0.15","107",
"108/03/12","266,519","4,292,553","16.05","16.15","16.05","16.10","+0.05","104",
"108/03/13","362,157","5,798,900","16.10","16.10","15.95","15.95","-0.15","139",
"108/03/14","222,200","3,552,700","15.95","16.05","15.95","16.00","+0.05","105",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

