"105年12月 5522 遠雄             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/12/01","744,509","27,551,459","37.15","37.20","36.80","37.00","-0.15","417",
"105/12/02","413,268","15,197,142","37.00","37.00","36.55","36.85","-0.15","311",
"105/12/05","602,766","22,211,149","36.90","37.00","36.65","37.00","+0.15","374",
"105/12/06","448,505","16,617,235","37.10","37.20","36.90","37.05","+0.05","323",
"105/12/07","545,410","20,221,711","37.10","37.15","37.00","37.10","+0.05","367",
"105/12/08","749,598","27,794,994","37.15","37.20","36.95","37.20","+0.10","524",
"105/12/09","611,674","22,666,538","37.25","37.25","36.95","37.00","-0.20","321",
"105/12/12","414,628","15,271,941","37.00","37.15","36.70","36.70","-0.30","246",
"105/12/13","450,410","16,642,847","36.75","37.05","36.75","37.00","+0.30","391",
"105/12/14","420,818","15,519,919","37.05","37.10","36.70","36.85","-0.15","280",
"105/12/15","257,342","9,462,934","36.70","36.90","36.65","36.80","-0.05","209",
"105/12/16","504,560","18,646,306","37.05","37.10","36.80","37.10","+0.30","326",
"105/12/19","649,200","24,150,479","37.00","37.40","36.90","37.15","+0.05","435",
"105/12/20","315,700","11,731,200","37.15","37.30","37.05","37.15"," 0.00","274",
"105/12/21","213,228","7,890,053","37.05","37.15","36.90","36.95","-0.20","145",
"105/12/22","553,200","20,344,290","37.20","37.20","36.60","36.65","-0.30","330",
"105/12/23","547,619","19,837,243","36.60","36.60","36.15","36.15","-0.50","340",
"105/12/26","112,566","4,087,495","36.45","36.45","36.20","36.40","+0.25","65",
"105/12/27","132,010","4,815,416","36.55","36.60","36.40","36.50","+0.10","78",
"105/12/28","150,140","5,490,009","36.60","36.70","36.50","36.50"," 0.00","106",
"105/12/29","196,218","7,154,262","36.45","36.65","36.40","36.40","-0.10","132",
"105/12/30","313,158","11,552,856","36.50","37.00","36.50","36.95","+0.55","227",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

