"107年07月 2327 國巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","11,252,119","13,395,875,180","1,160.00","1,230.00","1,150.00","1,230.00","+105.00","8,626",
"107/07/03","14,665,774","18,245,461,710","1,285.00","1,310.00","1,160.00","1,165.00","-65.00","11,804",
"107/07/04","7,076,077","8,367,651,245","1,185.00","1,205.00","1,145.00","1,180.00","+15.00","5,896",
"107/07/05","7,732,692","9,026,665,040","1,190.00","1,225.00","1,075.00","1,115.00","-65.00","6,365",
"107/07/06","11,248,474","12,615,859,320","1,160.00","1,175.00","1,060.00","1,175.00","+60.00","8,811",
"107/07/09","11,928,482","12,395,298,870","1,040.00","1,065.00","1,010.00","1,020.00","X0.00","8,843",
"107/07/10","5,864,269","6,083,558,795","1,040.00","1,060.00","1,010.00","1,045.00","+25.00","4,712",
"107/07/11","24,661,857","24,165,170,860","980.00","1,010.00","959.00","965.00","-80.00","10,177",
"107/07/12","11,002,292","10,936,875,920","980.00","1,015.00","974.00","1,005.00","+40.00","8,750",
"107/07/13","9,195,377","9,283,771,000","1,025.00","1,030.00","996.00","998.00","-7.00","6,413",
"107/07/16","10,161,682","9,888,204,540","1,005.00","1,015.00","942.00","962.00","-36.00","6,572",
"107/07/17","16,121,241","14,853,241,828","962.00","965.00","896.00","904.00","-58.00","13,539",
"107/07/18","20,329,692","18,167,631,888","949.00","955.00","828.00","860.00","-44.00","16,499",
"107/07/19","14,696,765","12,871,610,675","873.00","900.00","840.00","892.00","+32.00","12,077",
"107/07/20","15,433,158","13,138,412,454","892.00","900.00","812.00","812.00","-80.00","13,004",
"107/07/23","13,887,559","11,448,020,796","815.00","843.00","802.00","843.00","+31.00","11,555",
"107/07/24","12,157,922","10,578,192,190","850.00","893.00","838.00","893.00","+50.00","10,322",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

