"107年07月 2317 鴻海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","34,168,444","2,801,225,646","83.30","83.30","81.00","81.00","-2.20","14,831",
"107/07/03","23,992,573","1,941,693,913","81.10","81.70","80.50","80.70","-0.30","11,205",
"107/07/04","17,452,796","1,417,689,247","80.80","81.60","80.80","81.60","+0.90","6,839",
"107/07/05","17,474,083","1,419,788,710","81.70","81.80","81.00","81.20","-0.40","6,781",
"107/07/06","39,278,906","3,165,975,950","80.90","81.20","80.20","80.50","-0.70","13,882",
"107/07/09","23,838,042","1,934,894,382","81.40","81.60","80.70","80.80","+0.30","8,044",
"107/07/10","31,352,455","2,529,597,690","81.20","81.30","80.30","80.50","-0.30","11,414",
"107/07/11","37,731,076","3,069,033,804","80.60","82.00","80.60","81.60","+1.10","13,630",
"107/07/12","26,209,664","2,128,826,251","80.80","81.80","80.80","81.20","-0.40","8,518",
"107/07/13","36,224,415","2,981,263,603","81.70","82.90","81.70","82.90","+1.70","13,728",
"107/07/16","24,798,091","2,060,074,853","83.00","83.40","82.80","82.80","-0.10","10,146",
"107/07/17","23,732,878","1,967,617,066","82.90","83.50","82.50","82.90","+0.10","9,329",
"107/07/18","46,690,209","3,921,547,547","83.80","84.40","83.40","84.10","+1.20","18,817",
"107/07/19","38,913,244","3,304,596,972","84.50","85.20","84.30","85.20","+1.10","18,253",
"107/07/20","38,980,756","3,317,339,303","85.50","85.80","84.20","85.30","+0.10","18,147",
"107/07/23","35,744,652","3,051,215,034","85.60","85.70","84.90","85.50","+0.20","16,113",
"107/07/24","64,445,538","5,501,923,093","85.10","86.00","85.00","85.20","-0.30","23,286",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

