"105年10月 1710 東聯             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/10/03","308,616","6,040,597","19.75","19.75","19.50","19.55","-0.10","260",
"105/10/04","495,004","9,665,770","19.60","19.60","19.45","19.55"," 0.00","309",
"105/10/05","705,139","13,916,832","19.65","19.85","19.55","19.80","+0.25","440",
"105/10/06","568,613","11,154,500","19.80","19.85","19.55","19.60","-0.20","427",
"105/10/07","2,045,402","40,968,617","19.65","20.20","19.60","20.15","+0.55","924",
"105/10/11","3,264,544","66,870,916","20.25","20.70","20.20","20.60","+0.45","1,475",
"105/10/12","1,422,853","29,155,188","20.55","20.60","20.30","20.50","-0.10","751",
"105/10/13","2,261,024","46,763,338","20.50","21.00","20.40","20.70","+0.20","1,029",
"105/10/14","2,056,527","41,884,790","20.70","20.80","20.10","20.15","-0.55","944",
"105/10/17","1,102,396","22,132,674","20.15","20.35","20.00","20.05","-0.10","635",
"105/10/18","1,624,935","33,119,967","20.15","20.60","20.10","20.60","+0.55","855",
"105/10/19","5,221,295","109,461,945","20.75","21.15","20.65","21.00","+0.40","2,010",
"105/10/20","4,912,118","105,012,995","21.05","21.65","21.00","21.25","+0.25","2,138",
"105/10/21","4,257,213","89,534,601","21.35","21.45","20.85","21.00","-0.25","1,467",
"105/10/24","2,150,276","44,819,773","21.05","21.10","20.70","20.75","-0.25","1,175",
"105/10/25","1,799,401","37,253,151","20.85","20.95","20.60","20.60","-0.15","1,223",
"105/10/26","2,111,097","43,025,955","20.65","20.65","20.25","20.30","-0.30","964",
"105/10/27","1,575,924","31,917,121","20.30","20.50","20.15","20.25","-0.05","846",
"105/10/28","1,477,275","29,705,900","20.30","20.40","20.05","20.05","-0.20","1,136",
"105/10/31","1,451,541","28,730,005","20.00","20.05","19.70","19.75","-0.30","682",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

