"10207る 2454 羛祇           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/07/01","8,137,034","2,785,554,730","342.00","346.50","339.50","345.00","-3.50","4,940",
"102/07/02","6,110,307","2,096,469,323","348.00","348.00","338.50","341.50","-3.50","3,811",
"102/07/03","8,268,357","2,823,504,259","348.50","349.00","335.50","335.50","-6.00","4,922",
"102/07/04","6,300,101","2,112,281,431","335.50","339.50","330.00","330.00","-5.50","4,014",
"102/07/05","9,720,904","3,328,516,315","336.00","347.00","334.00","345.50","+15.50","5,854",
"102/07/08","9,490,496","3,298,696,608","349.00","350.00","343.50","349.00","+3.50","6,260",
"102/07/09","5,188,960","1,830,961,380","352.00","354.50","350.00","353.50","+4.50","3,923",
"102/07/10","5,664,841","1,992,807,258","355.00","355.00","349.00","351.50","-2.00","3,791",
"102/07/11","7,136,187","2,523,615,263","354.50","356.00","350.00","350.00","-1.50","4,094",
"102/07/12","11,396,000","4,061,563,000","351.00","360.00","349.50","360.00","+10.00","5,559",
"102/07/15","7,310,100","2,623,557,800","360.00","361.00","356.50","358.00","-2.00","4,049",
"102/07/16","7,305,936","2,573,657,612","352.00","355.00","349.50","349.50","X0.00","4,827",
"102/07/17","7,659,232","2,623,132,211","344.00","347.00","340.00","340.00","-9.50","5,332",
"102/07/18","7,754,372","2,577,900,876","337.00","337.50","328.00","331.00","-9.00","5,336",
"102/07/19","11,151,439","3,579,158,236","323.00","328.50","315.00","322.50","-8.50","7,006",
"102/07/22","5,432,958","1,786,545,093","329.00","333.00","324.50","330.50","+8.00","4,049",
"102/07/23","8,809,496","3,007,103,348","334.00","348.50","334.00","343.50","+13.00","5,829",
"102/07/24","5,555,201","1,924,832,631","348.00","348.00","344.00","346.50","+3.00","3,780",
"102/07/25","8,454,672","2,973,795,531","346.50","356.00","343.50","355.00","+8.50","5,873",
"102/07/26","7,593,819","2,724,777,383","358.00","363.50","354.50","358.00","+3.00","5,250",
"102/07/29","6,296,638","2,273,253,680","361.50","364.00","358.50","361.00","+3.00","3,991",
"102/07/30","5,965,418","2,122,840,584","361.00","361.00","352.00","355.50","-5.50","4,016",
"102/07/31","6,559,595","2,351,928,105","357.00","361.00","354.00","360.00","+4.50","4,565",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

