"10503る 2324 く腳             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/03/01","20,652,790","407,968,779","19.65","19.90","19.55","19.90","+0.40","6,115",
"105/03/02","15,305,403","305,806,531","20.10","20.20","19.85","19.85","-0.05","4,547",
"105/03/03","15,528,544","311,215,470","19.90","20.20","19.80","20.10","+0.25","4,582",
"105/03/04","10,558,948","211,539,441","19.95","20.15","19.90","20.10"," 0.00","4,196",
"105/03/07","13,582,290","273,129,798","20.10","20.45","19.95","20.05","-0.05","4,141",
"105/03/08","11,542,109","231,911,123","20.05","20.25","19.85","20.25","+0.20","3,876",
"105/03/09","9,002,837","181,776,296","20.20","20.30","20.00","20.25"," 0.00","2,894",
"105/03/10","13,120,933","267,530,273","20.25","20.60","20.20","20.30","+0.05","3,841",
"105/03/11","17,200,945","355,716,335","20.30","20.90","20.25","20.85","+0.55","5,472",
"105/03/14","14,036,178","295,299,188","20.95","21.20","20.90","21.00","+0.15","5,007",
"105/03/15","15,989,056","328,993,989","20.95","20.95","20.30","20.60","-0.40","4,626",
"105/03/16","10,375,745","214,303,718","20.70","20.85","20.45","20.75","+0.15","4,035",
"105/03/17","11,291,042","235,434,061","20.65","21.00","20.65","20.90","+0.15","3,790",
"105/03/18","26,486,436","552,064,440","20.90","21.50","20.45","20.65","-0.25","7,648",
"105/03/21","17,106,720","359,416,554","20.70","21.35","20.65","21.20","+0.55","5,921",
"105/03/22","14,056,985","294,654,212","21.35","21.35","20.75","21.05","-0.15","4,491",
"105/03/23","12,665,091","262,063,617","21.10","21.10","20.50","20.75","-0.30","5,026",
"105/03/24","13,562,878","277,621,669","20.50","20.75","20.20","20.75"," 0.00","3,826",
"105/03/25","12,027,183","244,142,728","20.75","20.75","20.20","20.20","-0.55","4,307",
"105/03/28","13,226,196","265,284,269","20.00","20.35","19.95","20.10","-0.10","3,160",
"105/03/29","17,242,162","340,779,694","20.00","20.05","19.55","19.80","-0.30","4,088",
"105/03/30","16,523,183","330,099,782","19.80","20.20","19.80","19.95","+0.15","3,493",
"105/03/31","24,147,582","486,004,139","20.30","20.30","20.00","20.20","+0.25","5,603",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

