"107年11月 2324 仁寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/11/01","7,968,463","136,563,900","17.00","17.25","16.95","17.20","+0.15","2,132",
"107/11/02","5,367,639","92,845,526","17.30","17.35","17.20","17.35","+0.15","1,630",
"107/11/05","5,359,135","92,927,737","17.30","17.50","17.20","17.50","+0.15","1,631",
"107/11/06","5,495,254","96,084,889","17.55","17.60","17.40","17.45","-0.05","1,737",
"107/11/07","7,571,908","134,193,594","17.55","17.85","17.50","17.85","+0.40","2,959",
"107/11/08","6,227,154","111,177,398","18.05","18.05","17.75","17.80","-0.05","2,437",
"107/11/09","7,692,869","134,183,951","17.65","17.70","17.30","17.45","-0.35","2,585",
"107/11/12","6,266,547","110,070,939","17.50","17.70","17.45","17.55","+0.10","1,842",
"107/11/13","5,230,795","90,806,007","17.30","17.50","17.20","17.45","-0.10","2,034",
"107/11/14","6,889,426","119,525,751","17.50","17.55","17.25","17.35","-0.10","2,456",
"107/11/15","6,014,068","105,507,140","17.40","17.70","17.35","17.60","+0.25","1,748",
"107/11/16","7,173,479","126,826,444","17.75","17.75","17.60","17.70","+0.10","2,424",
"107/11/19","8,200,545","145,109,037","17.65","17.80","17.60","17.70"," 0.00","2,482",
"107/11/20","7,324,441","128,561,252","17.65","17.65","17.40","17.50","-0.20","2,382",
"107/11/21","6,377,436","111,556,242","17.40","17.60","17.35","17.45","-0.05","2,367",
"107/11/22","3,779,943","65,964,094","17.50","17.55","17.40","17.40","-0.05","1,504",
"107/11/23","5,699,127","99,533,262","17.40","17.60","17.30","17.50","+0.10","2,127",
"107/11/26","6,192,253","108,498,135","17.55","17.70","17.40","17.45","-0.05","2,201",
"107/11/27","10,871,292","190,779,841","17.50","17.70","17.35","17.65","+0.20","3,228",
"107/11/28","9,383,993","165,270,216","17.65","17.70","17.50","17.70","+0.05","2,688",
"107/11/29","9,733,019","171,666,425","17.80","17.80","17.50","17.50","-0.20","3,333",
"107/11/30","19,397,923","341,770,823","17.60","17.75","17.55","17.60","+0.10","2,759",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

