"104年02月 2451 創見             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"104/02/02","503,559","51,034,737","100.50","102.00","100.00","102.00","+1.50","335",
"104/02/03","496,982","51,256,146","103.00","104.00","101.50","103.50","+1.50","331",
"104/02/04","308,715","31,926,145","104.00","104.00","103.00","103.00","-0.50","247",
"104/02/05","297,488","30,831,264","103.00","104.00","102.50","104.00","+1.00","178",
"104/02/06","272,999","28,441,696","103.50","105.00","103.50","105.00","+1.00","242",
"104/02/09","199,884","20,625,108","104.50","104.50","102.50","103.00","-2.00","175",
"104/02/10","391,925","40,113,311","103.00","103.00","102.00","102.50","-0.50","302",
"104/02/11","560,415","57,031,122","102.50","103.50","100.50","102.00","-0.50","388",
"104/02/12","576,541","58,380,410","101.00","102.50","100.50","101.50","-0.50","299",
"104/02/13","186,806","19,039,906","101.50","102.50","101.50","102.00","+0.50","149",
"104/02/24","492,908","51,080,973","103.00","104.50","102.00","104.00","+2.00","361",
"104/02/25","289,585","30,010,255","104.00","104.00","103.00","103.50","-0.50","220",
"104/02/26","305,290","31,584,370","103.00","104.00","102.50","103.50"," 0.00","155",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

