"10111る 2382 約笷             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/11/01","18,009,556","1,242,402,263","68.00","70.50","67.00","70.30","+3.50","6,032",
"101/11/02","20,352,505","1,457,293,297","71.60","72.80","70.00","70.60","+0.30","7,407",
"101/11/05","3,810,276","271,087,846","70.90","71.70","70.30","71.30","+0.70","1,907",
"101/11/06","3,524,735","253,027,834","72.00","72.30","71.00","72.30","+1.00","2,030",
"101/11/07","5,454,738","393,844,148","73.00","73.00","71.80","72.00","-0.30","2,199",
"101/11/08","7,438,167","522,997,450","71.00","71.20","69.70","70.40","-1.60","3,255",
"101/11/09","8,829,685","626,123,699","70.30","72.00","69.80","71.60","+1.20","3,683",
"101/11/12","5,311,442","381,315,884","72.40","72.40","71.10","72.10","+0.50","2,558",
"101/11/13","8,590,336","603,548,520","71.30","71.50","69.50","69.90","-2.20","4,151",
"101/11/14","9,759,177","667,548,862","69.00","70.00","67.60","68.00","-1.90","4,635",
"101/11/15","6,988,401","474,017,599","67.60","68.50","67.10","68.10","+0.10","3,162",
"101/11/16","7,040,251","480,687,265","68.10","69.30","67.60","68.20","+0.10","3,207",
"101/11/19","4,161,971","287,240,406","68.30","69.50","68.30","69.00","+0.80","2,171",
"101/11/20","7,279,415","513,309,450","70.30","71.30","70.10","70.30","+1.30","3,213",
"101/11/21","6,382,826","441,383,356","70.40","70.60","68.30","68.50","-1.80","3,074",
"101/11/22","3,758,239","259,885,307","69.00","69.70","68.50","69.50","+1.00","2,168",
"101/11/23","6,360,409","448,889,661","70.00","71.00","70.00","70.90","+1.40","3,715",
"101/11/26","8,795,821","634,358,212","71.50","72.60","71.20","72.40","+1.50","4,305",
"101/11/27","8,384,132","597,495,149","72.10","72.30","70.80","70.80","-1.60","3,859",
"101/11/28","5,881,775","415,953,225","71.00","71.20","70.00","71.20","+0.40","2,738",
"101/11/29","10,558,220","759,183,762","71.60","72.10","71.40","72.00","+0.80","4,179",
"101/11/30","18,488,073","1,351,390,002","72.00","73.80","71.70","73.00","+1.00","6,106",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

