"107年05月 2385 群光             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","509,321","37,374,433","73.20","73.80","73.00","73.10","-0.10","436",
"107/05/03","413,761","30,142,177","73.20","73.50","72.50","72.80","-0.30","355",
"107/05/04","399,196","28,916,047","72.50","72.90","72.30","72.30","-0.50","360",
"107/05/07","583,904","42,416,904","72.40","73.10","72.30","72.80","+0.50","401",
"107/05/08","614,639","44,737,607","72.80","73.00","72.50","72.70","-0.10","420",
"107/05/09","1,126,313","81,570,920","72.60","73.00","72.00","72.30","-0.40","776",
"107/05/10","944,197","68,180,420","72.30","72.50","72.00","72.00","-0.30","743",
"107/05/11","1,024,871","74,035,843","71.90","72.60","71.80","72.30","+0.30","835",
"107/05/14","879,437","63,741,878","72.70","72.70","72.30","72.50","+0.20","662",
"107/05/15","2,344,127","170,449,502","72.60","73.10","72.50","72.70","+0.20","1,442",
"107/05/16","941,747","67,960,579","72.70","72.70","71.90","71.90","-0.80","734",
"107/05/17","3,151,829","226,785,993","72.00","72.60","72.00","72.00","+0.10","474",
"107/05/18","703,901","50,713,320","72.20","72.40","71.60","72.30","+0.30","571",
"107/05/21","2,558,350","184,634,997","72.30","72.50","71.80","72.30"," 0.00","684",
"107/05/22","1,947,253","139,157,184","72.50","72.70","70.50","71.10","-1.20","1,502",
"107/05/23","1,207,996","85,136,309","71.50","71.50","70.10","70.10","-1.00","957",
"107/05/24","717,207","50,759,597","70.70","71.20","70.20","70.60","+0.50","577",
"107/05/25","679,353","48,220,835","70.70","71.40","70.40","71.40","+0.80","495",
"107/05/28","557,730","39,917,390","71.50","71.70","71.20","71.60","+0.20","452",
"107/05/29","637,748","45,586,555","71.70","71.80","71.30","71.30","-0.30","491",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

