"106年10月 1723 中碳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/10/02","1,048,374","127,479,250","117.50","126.00","117.00","126.00","+9.00","776",
"106/10/03","3,214,987","409,659,362","129.00","130.00","125.00","126.00"," 0.00","2,248",
"106/10/05","3,859,512","506,674,584","126.50","133.50","126.50","132.00","+6.00","2,819",
"106/10/06","1,553,206","202,762,280","132.00","132.50","129.00","130.00","-2.00","1,144",
"106/10/11","1,921,427","243,151,302","131.00","131.00","124.50","125.00","-5.00","1,464",
"106/10/12","863,134","108,001,884","125.00","127.00","123.50","125.50","+0.50","729",
"106/10/13","691,333","86,029,956","125.50","125.50","124.00","124.00","-1.50","529",
"106/10/16","765,277","94,251,848","124.00","124.50","122.50","122.50","-1.50","611",
"106/10/17","992,625","123,576,184","123.00","125.50","123.00","123.00","+0.50","750",
"106/10/18","645,921","79,227,164","123.50","124.50","122.00","123.00"," 0.00","499",
"106/10/19","468,659","57,692,057","123.50","123.50","122.50","122.50","-0.50","376",
"106/10/20","615,493","75,486,639","122.50","123.00","122.00","122.50"," 0.00","360",
"106/10/23","565,655","70,047,220","123.50","125.50","123.00","123.00","+0.50","456",
"106/10/24","328,890","40,445,913","123.00","124.00","122.50","123.00"," 0.00","239",
"106/10/25","716,255","88,725,875","123.50","125.00","123.00","124.50","+1.50","580",
"106/10/26","593,561","73,158,564","124.50","124.50","122.50","123.00","-1.50","489",
"106/10/27","845,521","103,881,318","123.00","124.50","121.50","121.50","-1.50","478",
"106/10/30","569,478","68,702,838","122.00","122.50","119.50","120.00","-1.50","447",
"106/10/31","272,855","32,882,876","121.00","121.00","120.00","120.50","+0.50","243",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

