"10303る 1101 猟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/03/03","11,869,684","562,034,394","48.10","48.10","46.95","47.65","-0.65","6,269",
"103/03/04","8,515,430","399,355,427","47.05","47.45","46.50","46.50","-1.15","4,306",
"103/03/05","6,826,678","323,194,675","46.90","47.65","46.90","47.60","+1.10","2,815",
"103/03/06","5,832,281","276,798,412","47.90","48.00","47.10","47.15","-0.45","2,551",
"103/03/07","5,716,679","268,695,064","47.30","47.90","46.75","47.00","-0.15","2,094",
"103/03/10","7,518,435","357,194,962","46.75","47.75","46.75","47.50","+0.50","2,502",
"103/03/11","7,815,901","365,762,382","47.55","47.60","46.45","46.55","-0.95","2,843",
"103/03/12","5,264,436","247,185,591","46.70","47.25","46.40","47.25","+0.70","2,180",
"103/03/13","3,741,476","176,061,451","47.50","47.50","46.65","47.10","-0.15","1,714",
"103/03/14","4,325,746","202,780,593","46.65","47.20","46.50","47.00","-0.10","1,578",
"103/03/17","3,992,434","187,900,327","47.45","47.45","46.70","47.40","+0.40","1,390",
"103/03/18","4,350,589","204,610,994","47.10","47.40","47.00","47.00","-0.40","1,862",
"103/03/19","4,068,713","190,551,175","47.20","47.30","46.70","46.70","-0.30","1,506",
"103/03/20","6,950,785","322,309,999","46.55","46.70","46.10","46.70"," 0.00","2,259",
"103/03/21","7,074,189","326,170,394","46.90","46.90","45.95","45.95","-0.75","1,594",
"103/03/24","6,314,239","290,321,814","45.95","46.55","45.80","46.00","+0.05","1,986",
"103/03/25","8,130,738","384,176,217","46.10","47.70","46.10","47.60","+1.60","3,109",
"103/03/26","5,764,309","273,845,233","47.95","47.95","47.05","47.45","-0.15","2,042",
"103/03/27","4,790,027","225,787,819","46.70","47.60","46.70","47.00","-0.45","1,997",
"103/03/28","7,780,213","366,017,061","47.00","47.25","46.90","47.20","+0.20","2,543",
"103/03/31","6,549,840","308,790,693","47.30","47.40","47.00","47.00","-0.20","2,534",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

