"10405る 2382 約笷             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/05/04","6,670,608","526,585,958","77.90","79.80","77.60","79.30","+2.30","3,684",
"104/05/05","4,449,976","352,772,791","79.40","79.60","78.40","79.50","+0.20","2,385",
"104/05/06","5,257,596","415,596,656","79.00","79.70","78.60","79.00","-0.50","2,473",
"104/05/07","5,018,753","395,089,080","78.50","79.00","78.20","79.00"," 0.00","1,657",
"104/05/08","4,091,052","318,836,519","78.60","78.80","77.50","77.50","-1.50","1,957",
"104/05/11","3,235,208","251,355,436","78.60","78.70","77.20","77.60","+0.10","1,427",
"104/05/12","15,959,278","1,203,143,855","76.00","76.50","74.80","75.00","-2.60","4,149",
"104/05/13","6,177,157","464,997,449","75.00","75.60","75.00","75.30","+0.30","2,578",
"104/05/14","10,842,833","807,413,875","76.00","76.00","73.70","74.80","-0.50","5,050",
"104/05/15","7,511,680","575,338,514","76.80","77.00","75.60","76.90","+2.10","3,870",
"104/05/18","4,531,390","349,476,001","76.90","77.60","75.80","77.50","+0.60","2,535",
"104/05/19","4,556,256","355,492,927","78.00","78.30","77.10","78.00","+0.50","2,197",
"104/05/20","3,964,057","308,710,814","78.30","78.30","77.60","77.70","-0.30","2,184",
"104/05/21","5,073,693","390,445,754","77.10","78.20","76.00","78.20","+0.50","2,717",
"104/05/22","5,578,844","437,449,660","77.80","79.00","77.60","78.40","+0.20","3,278",
"104/05/25","4,776,758","376,100,698","78.50","79.00","78.50","78.80","+0.40","2,120",
"104/05/26","2,927,594","230,857,640","79.30","79.40","78.70","78.80"," 0.00","1,339",
"104/05/27","4,066,768","317,050,343","78.30","78.30","77.80","77.80","-1.00","2,326",
"104/05/28","5,762,575","446,820,103","78.10","78.30","77.20","77.40","-0.40","3,015",
"104/05/29","7,224,700","561,492,908","77.40","78.00","77.30","77.90","+0.50","1,663",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

