"103年07月 6285 啟碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/07/01","4,306,587","319,320,007","73.70","75.30","72.80","72.80","-0.60","2,127",
"103/07/02","2,224,639","162,670,680","73.20","74.20","72.30","72.80"," 0.00","1,095",
"103/07/03","9,904,467","752,014,359","73.20","77.30","73.20","77.30","+4.50","4,867",
"103/07/04","5,814,863","450,743,316","78.20","78.40","76.50","77.20","-0.10","3,181",
"103/07/07","2,244,371","172,343,323","77.50","78.10","75.80","76.60","-0.60","1,261",
"103/07/08","1,638,905","125,385,147","77.20","77.20","75.70","76.60"," 0.00","882",
"103/07/09","5,885,648","458,873,432","76.90","78.90","76.70","77.90","+1.30","3,075",
"103/07/10","4,474,714","352,217,103","78.70","79.40","77.90","78.90","+1.00","2,278",
"103/07/11","4,447,390","348,471,217","78.80","79.60","76.90","78.00","-0.90","2,676",
"103/07/14","6,208,927","493,628,781","78.10","80.40","78.00","79.70","+1.70","3,069",
"103/07/15","4,680,652","376,690,042","80.50","81.40","79.60","79.90","+0.20","2,731",
"103/07/16","2,371,970","188,144,231","79.90","80.40","78.20","79.00","-0.90","1,495",
"103/07/17","2,464,226","196,559,660","79.20","80.70","78.50","79.50","+0.50","1,542",
"103/07/18","1,699,683","135,377,621","79.10","80.30","78.70","79.40","-0.10","1,071",
"103/07/21","2,193,858","176,856,640","79.80","81.10","79.80","80.40","+1.00","1,249",
"103/07/22","7,117,993","595,085,112","80.40","85.00","80.40","84.30","+3.90","4,043",
"103/07/24","3,419,137","288,257,256","84.40","85.00","83.60","84.90","+0.60","1,846",
"103/07/25","3,233,522","268,197,960","84.50","84.50","81.80","83.00","-1.90","1,783",
"103/07/28","1,138,038","94,625,154","83.60","83.60","82.70","83.30","+0.30","782",
"103/07/29","3,821,665","308,399,526","83.80","84.00","78.80","81.00","-2.30","2,407",
"103/07/30","2,190,206","176,095,004","80.70","82.00","79.10","82.00","+1.00","1,383",
"103/07/31","1,691,844","136,934,511","81.60","82.00","80.20","81.80","-0.20","891",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

